// mid3v2 --list-frames 

    --AENC    Audio encryption.
    --APIC    Attached (or linked) Picture.
    --ASPI    Audio seek point index.
    --CHAP    Chapter
    --COMM    User comment.
    --COMR    Commercial frame.
    --CTOC    Table of contents
    --ENCR    Encryption method registration.
    --EQU2    Equalisation (2).
    --ETCO    Event timing codes.
    --GEOB    General Encapsulated Object.
    --GRID    Group identification registration.
    --GRP1    iTunes Grouping
    --IPLS    Involved People List
    --LINK    Linked information.
    --MCDI    Binary dump of CD's TOC
    --MLLT    MPEG location lookup table.
    --MVIN    iTunes Movement Number/Count
    --MVNM    iTunes Movement Name
    --OWNE    Ownership frame.
    --PCNT    Play counter.
    --PCST    iTunes Podcast Flag
    --POPM    Popularimeter.
    --POSS    Position synchronisation frame
    --PRIV    Private frame.
    --RBUF    Recommended buffer size.
    --RVA2    Relative volume adjustment (2).
    --RVAD    Relative volume adjustment
    --RVRB    Reverb.
    --SEEK    Seek frame.
    --SIGN    Signature frame.
    --SYLT    Synchronised lyrics/text.
    --SYTC    Synchronised tempo codes.
    --TALB    Album
    --TBPM    Beats per minute
    --TCAT    iTunes Podcast Category
    --TCMP    iTunes Compilation Flag
    --TCOM    Composer
    --TCON    Content type (Genre)
    --TCOP    Copyright (c)
    --TDAT    Date of recording (DDMM)
    --TDEN    Encoding Time
    --TDES    iTunes Podcast Description
    --TDLY    Audio Delay (ms)
    --TDOR    Original Release Time
    --TDRC    Recording Time
    --TDRL    Release Time
    --TDTG    Tagging Time
    --TENC    Encoder
    --TEXT    Lyricist
    --TFLT    File type
    --TGID    iTunes Podcast Identifier
    --TIME    Time of recording (HHMM)
    --TIPL    Involved People List
    --TIT1    Content group description
    --TIT2    Title
    --TIT3    Subtitle/Description refinement
    --TKEY    Starting Key
    --TKWD    iTunes Podcast Keywords
    --TLAN    Audio Languages
    --TLEN    Audio Length (ms)
    --TMCL    Musicians Credits List
    --TMED    Source Media Type
    --TMOO    Mood
    --TOAL    Original Album
    --TOFN    Original Filename
    --TOLY    Original Lyricist
    --TOPE    Original Artist/Performer
    --TORY    Original Release Year
    --TOWN    Owner/Licensee
    --TPE1    Lead Artist/Performer/Soloist/Group
    --TPE2    Band/Orchestra/Accompaniment
    --TPE3    Conductor
    --TPE4    Interpreter/Remixer/Modifier
    --TPOS    Part of set
    --TPRO    Produced (P)
    --TPUB    Publisher
    --TRCK    Track Number
    --TRDA    Recording Dates
    --TRSN    Internet Radio Station Name
    --TRSO    Internet Radio Station Owner
    --TSIZ    Size of audio data (bytes)
    --TSO2    iTunes Album Artist Sort
    --TSOA    Album Sort Order key
    --TSOC    iTunes Composer Sort
    --TSOP    Perfomer Sort Order key
    --TSOT    Title Sort Order key
    --TSRC    International Standard Recording Code (ISRC)
    --TSSE    Encoder settings
    --TSST    Set Subtitle
    --TXXX    User-defined text data.
    --TYER    Year of recording
    --UFID    Unique file identifier.
    --USER    Terms of use.
    --USLT    Unsynchronised lyrics/text transcription.
    --WCOM    Commercial Information
    --WCOP    Copyright Information
    --WFED    iTunes Podcast Feed
    --WOAF    Official File Information
    --WOAR    Official Artist/Performer Information
    --WOAS    Official Source Information
    --WORS    Official Internet Radio Information
    --WPAY    Payment Information
    --WPUB    Official Publisher Information
    --WXXX    User-defined URL data.
